Episode,Steps,Time_s,Total_Reward,Avg_Reward,Final_Distance_m,Max_Speed_mph,Crashes,Final_Damage,Buffer_Size,Timestamp
1,7,5.5,668.72,95.53,0.7,7.2,1,0.00,7,2026-01-04 10:14:41
2,17,9.0,887.29,52.19,0.9,7.9,2,0.00,24,2026-01-04 10:14:50
3,20,10.1,874.13,43.71,1.0,8.1,3,0.00,44,2026-01-04 10:15:00
4,15,8.3,868.06,57.87,1.1,8.2,4,0.00,59,2026-01-04 10:15:09
5,15,8.2,964.78,64.32,0.9,7.9,5,0.00,74,2026-01-04 10:15:17
6,8,5.8,572.71,71.59,1.0,7.9,6,0.00,82,2026-01-04 10:15:23
7,9,6.2,467.61,51.96,0.9,7.8,7,0.00,91,2026-01-04 10:15:29
8,11,6.9,884.61,80.42,0.8,7.2,8,0.00,102,2026-01-04 10:15:36
9,9,6.1,676.13,75.13,0.8,7.5,9,0.00,111,2026-01-04 10:15:42
10,12,7.2,983.18,81.93,1.1,8.0,10,0.00,123,2026-01-04 10:15:49
11,12,7.2,976.00,81.33,1.0,8.1,11,0.00,135,2026-01-04 10:15:57
